1,0,1,1,4,1,1,1,1,1,0
5,6,3,2,0,6,9,9,9,5,0
1,1,1,1,0,1,1,1,1,1,0
0,1,4,1,3,1,1,6,4,4,0
0,1,1,1,2,1,1,2,1,2,0
0,1,1,1,1,1,1,1,3,1,0
5,6,0,1,5,6,10,6,11,6,0
0,1,2,2,7,9,8,7,8,3,0
0,6,1,6,1,6,11,1,2,10,0
0,1,2,3,5,1,1,1,2,2,0
2,1,1,1,1,1,1,0,1,4,0
0,1,1,1,1,2,1,2,1,1,0
0,24,12,5,12,1,1,24,24,24,0
0,1,2,1,17,1,1,2,3,2,0
0,4,1,1,3,11,4,1,4,6,0
0,6,2,1,2,4,1,12,2,1,0
1,3,3,0,1,4,3,2,14,4,0
1,0,1,1,4,3,9,10,13,7,0
0,1,1,1,1,1,1,5,1,1,0
0,1,1,3,2,1,1,1,2,4,0
0,1,1,1,1,1,1,1,3,1,0
0,9,9,1,1,9,1,1,7,9,0
1,0,2,2,1,2,2,2,2,2,0
0,1,2,1,1,1,1,1,9,1,0
1,1,1,1,0,1,1,1,1,1,0
0,1,1,1,1,1,2,1,1,1,0
0,2,1,2,2,4,4,1,1,4,0
14,12,0,15,1,13,15,15,1,15,0
2,0,2,3,1,3,7,3,1,7,0
0,2,1,1,1,1,1,2,1,11,0
7,14,0,21,7,7,14,7,1,14,0
0,1,1,1,1,1,1,1,8,1,0
0,2,1,3,3,1,1,3,3,3,0
0,1,1,1,2,1,1,1,2,2,0
10,0,9,9,10,12,8,11,3,10,0
0,1,1,1,1,1,1,6,1,1,0
0,1,2,3,3,1,2,5,3,1,0
2,3,3,3,3,3,0,3,3,3,0
1,1,1,0,1,1,1,1,1,1,0
0,4,2,4,4,4,4,3,7,2,0
0,3,7,2,1,1,1,5,5,1,0
0,1,5,3,6,7,4,10,6,10,0
2,6,2,4,4,3,3,6,0,6,0
0,2,1,3,1,1,4,3,3,4,0
2,0,3,3,5,4,3,3,3,6,0
0,1,1,1,1,1,1,1,1,1,0
26,0,2,1,1,1,3,27,1,4,0
0,1,1,1,1,1,1,1,1,6,0
9,10,9,8,0,8,2,5,3,1,0
0,4,1,5,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,0
0,1,1,1,2,1,1,1,2,7,0
3,0,9,4,6,4,8,4,8,9,0
0,1,1,2,1,1,1,2,3,3,0
3,4,0,1,5,4,6,4,4,6,0
0,3,1,1,4,2,1,1,16,8,0
