1,1,1,3,3,0,1,2,2,2,4,3,0,,,,,,,,Patch Distance,Count,Percentage
2,1,1,7,2,8,1,2,0,2,2,2,0,,1080,1,3418,657,19.22,,0,1080,15.81
101,1,0,1,1,7,7,7,7,7,7,7,0,,,2,917,76,8.29,,1,1249,18.28
102,1,1,2,1,2,1,1,2,2,0,1,0,,,3,742,34,4.58,,2,761,11.14
106,1,1,2,4,0,1,5,3,2,4,2,0,,,4,426,21,4.93,,3,774,11.33
118,1,1,2,2,2,1,0,2,1,2,1,0,,,5,349,7,2.01,,4,572,8.37
133,1,1,7,1,0,2,1,6,2,7,1,0,,,6,298,4,1.34,,5,562,8.23
147,1,1,1,0,1,1,0,1,3,2,3,0,,,7,133,1,0.75,,,,
150,1,1,10,10,10,1,1,9,0,10,1,0,,,8,475,277,58.32,,,,
165,1,1,2,3,0,1,2,3,1,2,2,0,,,9,23,0,0,,,,
167,1,1,1,2,2,2,2,2,2,1,0,0,,,10,28,3,10.71,,,,
168,1,1,3,2,0,2,2,3,2,2,1,0,,,,,,,,,,
170,1,1,1,2,2,2,2,2,2,1,0,0,,,,,,,,,,
239,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
240,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
241,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
243,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
244,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
245,1,7,7,7,7,2,3,1,2,0,1,0,,,,,,,,,,
277,1,1,2,1,1,0,2,2,1,2,2,0,,,,,,,,,,
291,1,2,1,1,2,0,1,2,2,1,1,0,,,,,,,,,,
292,1,1,1,2,1,1,0,2,1,2,1,0,,,,,,,,,,
294,1,2,1,2,2,2,2,2,2,1,0,0,,,,,,,,,,
295,1,1,2,2,2,2,2,0,2,2,2,0,,,,,,,,,,
305,1,3,1,4,0,4,1,4,1,1,2,0,,,,,,,,,,
306,1,2,1,0,2,2,2,2,7,8,8,0,,,,,,,,,,
309,1,2,1,1,2,0,1,2,2,1,1,0,,,,,,,,,,
312,1,2,1,1,2,0,1,2,2,1,1,0,,,,,,,,,,
316,1,1,0,1,2,1,1,2,2,2,2,0,,,,,,,,,,
317,1,1,2,1,1,0,2,2,1,2,2,0,,,,,,,,,,
318,1,1,2,2,1,1,1,1,2,2,0,0,,,,,,,,,,
319,1,1,2,2,1,1,1,1,2,2,0,0,,,,,,,,,,
326,1,1,1,1,1,2,0,1,1,1,1,0,,,,,,,,,,
327,1,2,1,0,1,1,1,1,2,1,1,0,,,,,,,,,,
328,1,2,1,0,1,1,2,1,2,1,1,0,,,,,,,,,,
330,1,1,1,1,1,0,1,1,1,2,2,0,,,,,,,,,,
331,1,1,1,1,1,2,0,1,1,1,1,0,,,,,,,,,,
332,1,1,1,1,1,2,0,1,1,1,1,0,,,,,,,,,,
333,1,1,1,1,1,0,1,1,1,2,2,0,,,,,,,,,,
334,1,1,1,1,1,2,0,1,1,1,1,0,,,,,,,,,,
372,1,1,4,0,3,1,2,4,1,1,4,0,,,,,,,,,,
374,1,1,4,0,5,3,4,2,2,2,2,0,,,,,,,,,,
375,1,1,4,0,5,3,4,2,2,2,2,0,,,,,,,,,,
376,1,4,2,5,2,5,1,6,6,1,0,0,,,,,,,,,,
377,1,2,1,3,2,1,3,2,2,1,0,0,,,,,,,,,,
378,1,2,1,3,2,1,3,2,2,1,0,0,,,,,,,,,,
379,1,2,1,3,2,1,3,2,2,1,0,0,,,,,,,,,,
380,1,2,1,3,2,1,3,2,2,1,0,0,,,,,,,,,,
381,1,2,1,3,2,1,3,2,2,1,0,0,,,,,,,,,,
382,1,4,2,0,1,2,2,2,1,1,4,0,,,,,,,,,,
383,1,2,2,1,1,2,1,3,0,2,3,0,,,,,,,,,,
384,1,4,0,2,2,2,1,2,2,1,4,0,,,,,,,,,,
385,1,4,0,2,2,2,1,2,2,1,4,0,,,,,,,,,,
