4,2
9,2
15,2
25,2
33,2
4146,2
4147,2
4153,2
4157,3
4158,3
4170,2
77,2
78,2
80,2
81,2
82,2
83,2
85,2
87,2
93,2
4191,3
4193,3
4194,3
4196,3
4203,3
4216,3
4221,3
4224,3
4226,3
4227,3
166,3
169,3
189,3
192,3
195,2
196,2
214,1
249,1
257,1
258,1
259,1
278,1
282,1
4404,1
4410,1
4513,3
4516,3
4519,3
4520,3
4528,3
4534,3
4538,3
4544,3
4548,3
570,1
629,3
632,2
633,2
666,2
775,1
776,1
845,5
855,1
867,1
868,1
869,1
881,2
882,2
908,3
916,1
919,1
933,1
937,1
945,1
951,1
956,1
960,1
967,1
970,1
1007,2
1008,2
1009,2
1011,2
1012,2
1013,2
1014,2
5114,4
1021,2
5118,3
5119,3
1024,2
5121,1
1027,2
5124,1
1039,2
1041,2
1042,2
1043,2
1046,2
1053,2
5152,2
5156,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
5271,2
5293,2
5309,3
5330,2
5332,2
5337,2
5344,1
1260,2
1287,5
5466,2
5541,4
5542,3
5543,3
5546,3
5547,3
1458,2
1459,2
1460,2
1461,2
5760,6
5761,5
5762,6
5765,6
5767,5
5769,6
5775,6
5776,5
5777,6
5826,2
5827,2
5828,6
5829,5
5833,8
1761,2
5862,8
1769,1
5885,8
1803,1
5899,8
1807,1
5920,8
5967,6
5969,5
5972,6
5973,5
5980,6
5983,6
5984,5
5985,8
1902,6
6009,8
6010,8
1916,2
6012,8
6016,8
6051,8
6070,8
6071,8
6078,8
6082,8
6156,8
6157,8
2066,1
6191,8
6214,8
6281,8
6284,3
6287,5
2231,2
6432,2
6467,2
2372,1
6468,2
6471,2
6473,2
6474,2
6475,2
6476,2
2394,7
2427,1
2548,4
2549,4
2551,4
2552,4
2559,2
6754,5
6769,3
6783,2
2693,1
2694,2
2695,1
2698,2
2699,1
2702,1
2704,1
2705,1
2707,1
2709,1
2715,1
2716,1
6810,2
6814,3
6816,5
6822,2
6825,2
3004,1
3420,1
3547,1
3548,1
3551,1
3718,1
3740,1
3741,1
3742,1
3745,1
3757,4
3767,1
3769,1
3770,1
3773,1
3776,1
3777,1
3778,1
3779,1
3780,1
3781,1
3782,1
3783,1
3784,1
3785,1
3786,1
3787,1
3795,1
3796,1
3938,4
3950,1
3951,1
3952,1
3953,1
