0,7,24,33,23,23,23,27,27,27,27,27,23
1,6,1,2,6,1,1,6,1,1,1,2,1
2,19,14,14,16,16,16,16,16,16,17,17,14
3,3,1,0,1,1,4,1,1,1,1,1,0
4,6,10,10,10,10,9,12,11,12,14,11,9
5,1,7,7,7,7,6,7,7,7,6,7,6
6,3,11,11,11,12,11,11,11,11,11,11,11
7,1,10,10,10,10,10,11,10,10,10,10,10
8,6,5,6,3,2,0,6,9,9,9,5,0
9,7,16,16,16,16,16,16,16,16,16,16,16
10,3,6,6,6,6,6,6,6,6,6,6,6
11,9,19,19,19,17,19,19,17,17,17,17,17
12,9,8,8,9,8,9,8,8,8,8,8,8
13,6,21,21,21,21,21,21,16,21,20,19,16
14,10,14,14,14,14,14,14,14,14,14,14,14
15,7,11,11,15,11,11,14,14,14,14,14,11
16,1,3,3,3,3,3,3,3,3,3,3,3
17,4,11,12,12,11,11,12,11,12,11,12,11
18,7,1,1,1,1,0,1,1,1,1,1,0
19,8,10,11,11,11,11,11,11,11,11,11,10
20,16,19,19,19,19,19,19,19,19,19,19,19
21,6,11,10,11,11,11,11,11,13,14,14,10
22,3,18,18,17,19,17,18,20,19,18,19,17
23,7,10,10,10,10,10,10,10,10,10,8,8
24,8,7,10,10,10,10,10,13,10,10,12,7
25,1,3,4,3,3,3,3,4,4,2,3,2
26,6,9,9,9,9,9,9,9,9,9,9,9
27,1,4,5,5,5,6,5,4,4,5,5,4
28,4,11,11,11,11,11,11,11,11,11,11,11
29,4,5,6,5,5,5,20,20,20,29,29,5
30,7,7,7,7,8,8,7,8,15,15,15,7
31,2,0,1,4,1,3,1,1,6,4,4,0
32,6,6,7,7,8,7,7,7,7,7,7,6
33,7,14,13,13,14,18,13,14,14,14,13,13
34,20,23,23,23,15,23,23,15,15,15,25,15
35,1,2,2,1,3,3,2,2,2,2,3,1
36,2,9,9,9,9,9,9,9,9,9,9,9
37,1,9,9,4,8,6,4,4,8,6,8,4
38,13,14,14,12,12,12,12,11,16,16,16,11
39,3,6,6,6,6,6,6,6,6,6,6,6
40,6,9,10,10,11,9,11,11,9,10,10,9
41,1,1,1,1,1,1,1,1,1,1,1,1
42,11,26,26,26,26,26,26,26,26,17,17,17
43,1,21,21,18,21,21,18,21,18,18,18,18
