0,2,6,6,6
1,1,3,3,3
2,1,1,7,1
3,3,3,3,3
4,2,2,3,2
5,2,3,4,3
6,5,5,7,5
7,2,4,6,4
8,7,7,8,7
9,2,1,2,1
10,7,7,8,7
11,1,4,4,4
12,2,1,1,1
13,2,0,1,0
14,3,5,5,5
15,2,2,3,2
16,2,4,6,4
17,1,1,1,1
18,1,1,1,1
19,2,4,6,4
20,5,5,9,5
21,5,10,5,5
22,6,5,5,5
23,6,5,5,5
24,1,5,5,5
25,2,2,2,2
26,2,4,5,4
27,1,1,1,1
28,1,3,3,3
29,1,1,3,1
30,1,1,6,1
31,1,1,6,1
32,1,2,3,2
33,2,2,2,2
34,1,5,3,3
35,1,2,2,2
36,1,5,3,3
37,1,1,1,1
38,1,3,2,2
39,1,4,4,4
40,3,7,5,5
41,3,6,6,6
42,5,9,9,9
43,3,7,8,7
44,3,5,5,5
45,3,7,8,7
46,3,7,7,7
47,3,7,5,5
48,3,7,5,5
49,2,0,1,0
50,2,3,2,2
51,2,3,2,2
52,5,5,5,5
53,2,5,4,4
54,2,5,4,4
55,3,4,4,4
56,3,4,4,4
57,3,4,8,4
58,3,4,4,4
59,3,4,4,4
60,3,4,4,4
61,3,4,8,4
62,3,4,8,4
63,3,4,9,4
64,3,4,9,4
65,3,4,9,4
66,3,4,9,4
67,3,4,9,4
68,3,4,9,4
69,3,4,9,4
70,3,4,9,4
71,3,4,9,4
72,3,4,9,4
73,3,4,9,4
74,3,4,9,4
75,3,2,2,2
76,1,1,1,1
77,2,2,2,2
78,2,0,4,0
79,3,6,6,6
80,2,2,4,2
81,2,2,2,2
82,2,2,4,2
83,2,2,4,2
84,2,3,4,3
85,2,2,3,2
86,3,9,9,9
87,2,2,0,0
88,3,5,5,5
89,1,13,13,13
90,1,3,3,3
91,4,3,4,3
92,4,4,4,4
93,2,2,0,0
94,4,4,7,4
95,5,7,7,7
96,5,7,4,4
97,5,7,7,7
98,5,7,4,4
99,1,4,4,4
100,8,8,8,8
101,1,2,2,2
102,1,1,1,1
103,1,7,7,7
104,1,7,7,7
105,1,9,9,9
106,1,2,2,2
107,1,6,6,6
108,2,6,5,5
109,1,6,6,6
110,1,7,7,7
111,3,6,6,6
112,2,2,3,2
113,3,4,4,4
114,5,5,5,5
115,1,12,12,12
116,3,11,12,11
117,3,7,7,7
118,1,3,2,2
119,1,4,4,4
120,4,4,4,4
121,4,4,4,4
122,7,4,4,4
123,7,8,10,8
124,2,7,7,7
125,1,2,6,2
126,1,2,6,2
127,1,3,3,3
128,1,3,3,3
129,1,3,2,2
130,3,9,7,7
